data_ora_proiezione,titolo_film,genere,regista,anno,durata_minuti,eta_minima,prezzo_biglietto
"2018-01-01 10:30:00","Mr. Smith Goes to Washington",COMEDY,"Frank Capra",1939,129,12,6.5
"2018-01-01 13:30:00","Mr. Smith Goes to Washington",COMEDY,"Frank Capra",1939,129,12,7.0
"2018-01-02 10:30:00","Mr. Smith Goes to Washington",COMEDY,"Frank Capra",1939,129,12,7.0
"2018-01-03 10:00:00","Mr. Smith Goes to Washington",COMEDY,"Frank Capra",1939,129,12,7.5
"2018-01-03 13:00:00","Mr. Smith Goes to Washington",COMEDY,"Frank Capra",1939,129,12,6.5
"2018-01-04 10:30:00","Mr. Smith Goes to Washington",COMEDY,"Frank Capra",1939,129,12,6.5
"2018-01-05 10:00:00","A Night at the Opera",COMEDY,"Sam Wood",1935,96,12,7.0
"2018-01-06 10:00:00","A Night at the Opera",COMEDY,"Sam Wood",1935,96,12,7.0
"2018-01-06 12:30:00","A Night at the Opera",COMEDY,"Sam Wood",1935,96,12,8.5
"2018-01-06 15:00:00","A Night at the Opera",COMEDY,"Sam Wood",1935,96,12,8.0
"2018-01-07 10:00:00","Mr. Smith Goes to Washington",COMEDY,"Frank Capra",1939,129,12,6.5
"2018-01-07 13:00:00","Mr. Smith Goes to Washington",COMEDY,"Frank Capra",1939,129,12,8.5
"2018-01-07 16:00:00","A Night at the Opera",COMEDY,"Sam Wood",1935,96,12,8.5
"2018-01-08 10:00:00","A Night at the Opera",COMEDY,"Sam Wood",1935,96,12,6.5
"2018-01-08 12:30:00","A Night at the Opera",COMEDY,"Sam Wood",1935,96,12,7.5
"2018-01-09 10:00:00","Dial M for Murder",CRIME,"Alfred Hitchcock",1954,105,12,7.0
"2018-01-10 10:00:00","Once Upon a Time in the West",WESTERN,"Sergio Leone",1968,165,0,7.0
"2018-01-10 13:30:00","Mr. Smith Goes to Washington",COMEDY,"Frank Capra",1939,129,12,8.0
"2018-01-10 16:30:00","Mr. Smith Goes to Washington",COMEDY,"Frank Capra",1939,129,12,7.5
"2018-01-11 10:00:00","Mr. Smith Goes to Washington",COMEDY,"Frank Capra",1939,129,12,7.5
"2018-01-11 13:00:00","Dangal",ACTION,"Nitesh Tiwari",2016,161,0,8.0
"2018-01-11 16:30:00","Singin' in the Rain",COMEDY,"Stanley Donen",1952,103,0,7.5
"2018-01-12 10:30:00","Dangal",ACTION,"Nitesh Tiwari",2016,161,0,8.0
"2018-01-12 14:00:00","Dangal",ACTION,"Nitesh Tiwari",2016,161,0,6.5
"2018-01-12 17:30:00","Singin' in the Rain",COMEDY,"Stanley Donen",1952,103,0,6.5
"2018-01-13 10:30:00","Mr. Smith Goes to Washington",COMEDY,"Frank Capra",1939,129,12,7.5
"2018-01-13 13:30:00","Sing Street",COMEDY,"John Carney",2016,106,12,7.0
"2018-01-13 16:00:00","Singin' in the Rain",COMEDY,"Stanley Donen",1952,103,0,6.5
"2018-01-14 10:30:00","Dial M for Murder",CRIME,"Alfred Hitchcock",1954,105,12,6.5
"2018-01-14 13:00:00","Once Upon a Time in the West",WESTERN,"Sergio Leone",1968,165,0,8.0
"2018-01-14 16:30:00","Sing Street",COMEDY,"John Carney",2016,106,12,8.0
"2018-01-14 19:00:00","A Night at the Opera",COMEDY,"Sam Wood",1935,96,12,10.0
"2018-01-15 10:00:00","Dog Day Afternoon",BIOGRAPHY,"Sidney Lumet",1975,125,0,8.0
"2018-01-15 13:00:00","Sing Street",COMEDY,"John Carney",2016,106,12,7.0
"2018-01-15 15:30:00","Lethal Weapon",ACTION,"Richard Donner",1987,109,12,7.5
"2018-01-16 10:30:00","Singin' in the Rain",COMEDY,"Stanley Donen",1952,103,0,7.0
"2018-01-17 10:30:00","Bronenosets Potemkin",DRAMA,"Sergei M. Eisenstein",1925,75,12,7.5
"2018-01-17 12:30:00","Singin' in the Rain",COMEDY,"Stanley Donen",1952,103,0,8.5
"2018-01-17 15:00:00","Dial M for Murder",CRIME,"Alfred Hitchcock",1954,105,12,7.0
"2018-01-18 10:30:00","Sing Street",COMEDY,"John Carney",2016,106,12,8.0
"2018-01-18 13:00:00","Lethal Weapon",ACTION,"Richard Donner",1987,109,12,7.5
"2018-01-19 10:00:00","The Long Goodbye",COMEDY,"Robert Altman",1973,112,12,7.5
"2018-01-19 12:30:00","Koe no katachi",ANIMATION,"Naoko Yamada",2016,130,12,6.5
"2018-01-20 10:30:00","Das Cabinet des Dr. Caligari",FANTASY,"Robert Wiene",1920,76,12,8.0
"2018-01-20 12:30:00","Sing Street",COMEDY,"John Carney",2016,106,12,7.0
"2018-01-20 15:00:00","Dog Day Afternoon",BIOGRAPHY,"Sidney Lumet",1975,125,0,6.5
"2018-01-20 18:00:00","Sing Street",COMEDY,"John Carney",2016,106,12,10.0
"2018-01-21 10:30:00","Dangal",ACTION,"Nitesh Tiwari",2016,161,0,7.5
"2018-01-21 14:00:00","Koe no katachi",ANIMATION,"Naoko Yamada",2016,130,12,8.0
"2018-01-21 17:00:00","Bronenosets Potemkin",DRAMA,"Sergei M. Eisenstein",1925,75,12,7.5
"2018-01-21 19:00:00","Dog Day Afternoon",BIOGRAPHY,"Sidney Lumet",1975,125,0,10.0
"2018-01-22 10:30:00","Das Cabinet des Dr. Caligari",FANTASY,"Robert Wiene",1920,76,12,8.5
"2018-01-23 10:30:00","Dial M for Murder",CRIME,"Alfred Hitchcock",1954,105,12,8.0
"2018-01-24 10:30:00","The Long Goodbye",COMEDY,"Robert Altman",1973,112,12,8.0
"2018-01-24 13:00:00","Dial M for Murder",CRIME,"Alfred Hitchcock",1954,105,12,6.5
"2018-01-24 15:30:00","The Dirty Dozen",ACTION,"Robert Aldrich",1967,150,12,6.5
"2018-01-25 10:30:00","Sing Street",COMEDY,"John Carney",2016,106,12,6.5
"2018-01-26 10:30:00","Bronenosets Potemkin",DRAMA,"Sergei M. Eisenstein",1925,75,12,7.0
"2018-01-26 12:30:00","The Long Goodbye",COMEDY,"Robert Altman",1973,112,12,8.0
"2018-01-27 10:00:00","Dangal",ACTION,"Nitesh Tiwari",2016,161,0,7.5
"2018-01-27 13:30:00","Bronenosets Potemkin",DRAMA,"Sergei M. Eisenstein",1925,75,12,7.5
"2018-01-27 15:30:00","Sing Street",COMEDY,"John Carney",2016,106,12,6.5
"2018-01-27 18:00:00","The Day the Earth Stood Still",DRAMA,"Robert Wise",1951,92,0,9.0
"2018-01-28 10:30:00","The Day the Earth Stood Still",DRAMA,"Robert Wise",1951,92,0,7.5
"2018-01-28 13:00:00","Mr. Smith Goes to Washington",COMEDY,"Frank Capra",1939,129,12,7.0
"2018-01-28 16:00:00","Badlands",ACTION,"Terrence Malick",1973,94,6,8.5
"2018-01-29 10:30:00","Koe no katachi",ANIMATION,"Naoko Yamada",2016,130,12,7.5
